entity,concepturi,ID,person
Jennifer Anne Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
American,http://www.wikidata.org/entity/Q846570,Q846570,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Nobel,http://www.wikidata.org/entity/Q7191,Q7191,Jennifer Doudna
Nobel Prize in Chemistry,http://www.wikidata.org/entity/Q44585,Q44585,Jennifer Doudna
Emmanuelle Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
the Department of Chemistry,id-less,id-less,Jennifer Doudna
the Department of Molecular and Cell Biology,id-less,id-less,Jennifer Doudna
"the University of California,",http://www.wikidata.org/entity/Q13360899,Q13360899,Jennifer Doudna
Berkeley,http://www.wikidata.org/entity/Q168756,Q168756,Jennifer Doudna
the Howard Hughes Medical Institute,http://www.wikidata.org/entity/Q36437695,Q36437695,Jennifer Doudna
Pomona College,http://www.wikidata.org/entity/Q7227384,Q7227384,Jennifer Doudna
Ph.D.,http://www.wikidata.org/entity/Q752297,Q752297,Jennifer Doudna
Harvard Medical School,http://www.wikidata.org/entity/Q49121,Q49121,Jennifer Doudna
Berkeley,http://www.wikidata.org/entity/Q168756,Q168756,Jennifer Doudna
the Innovative Genomics Institute,id-less,id-less,Jennifer Doudna
Lawrence Berkeley National Laboratory,http://www.wikidata.org/entity/Q1133630,Q1133630,Jennifer Doudna
the Gladstone Institutes,id-less,id-less,Jennifer Doudna
"the University of California,",http://www.wikidata.org/entity/Q13360899,Q13360899,Jennifer Doudna
San Francisco,http://www.wikidata.org/entity/Q62,Q62,Jennifer Doudna
UCSF,http://www.wikidata.org/entity/Q1061104,Q1061104,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Emmanuelle Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
CRISPR-Cas9,http://www.wikidata.org/entity/Q17310682,Q17310682,Jennifer Doudna
Doudna,http://www.wikidata.org/entity/Q56068,Q56068,Jennifer Doudna
Alan T. Waterman Award,http://www.wikidata.org/entity/Q3607779,Q3607779,Jennifer Doudna
Charpentier,http://www.wikidata.org/entity/Q17280087,Q17280087,Jennifer Doudna
the Gruber Prize in,id-less,id-less,Jennifer Doudna
the Tang Prize,id-less,id-less,Jennifer Doudna
the Canada Gairdner International Award,id-less,id-less,Jennifer Doudna
the Japan Prize,http://www.wikidata.org/entity/Q10927419,Q10927419,Jennifer Doudna
